"q","biteA","Mean_Annual_Seroprevalence","param1","Persistence","mean_popn_R0","R0_when_q0","Persist_long","Persist_year"
"0.1",0.43,0.820487850590706,0.1,12391,2.62830154689626,2.12556908879044,"yes","yes"
"0.1",0.44,0.820584960750412,0.1,12391,2.68347281564136,2.16861767440627,"yes","yes"
"0.1",0.45,0.820661653030423,0.1,12390,2.73878492377108,2.21178994652835,"yes","yes"
"0.2",0.01,0.018079512134916,0.2,0,0.769643119069963,0.76915604266102,"no","no"
"0.2",0.02,0.0184106737607766,0.2,62,0.775190775927387,0.773281598779576,"no","no"
"0.2",0.03,0.018762381700288,0.2,70,0.784282372589461,0.780102590867436,"no","no"
"0.2",0.04,0.0191827659614631,0.2,76,0.796720993126512,0.78954945709425,"no","no"
"0.2",0.05,0.0196173786421815,0.2,81,0.812262674002869,0.801530444827193,"no","no"
"0.2",0.06,0.0201842590047695,0.2,86,0.83063949328423,0.815934919957535,"no","no"
"0.2",0.07,0.0210828101453441,0.2,310,0.851583180572269,0.832638576033922,"no","no"
"0.2",0.08,0.0222188159912257,0.2,320,0.874830450088198,0.851507755221135,"no","no"
"0.2",0.09,0.0235640041159036,0.2,327,0.900133160112295,0.87240372974769,"no","no"
"0.2",0.1,0.0253059681639944,0.2,334,0.927278843921483,0.895191743451662,"no","no"
"0.2",0.11,0.0278619096496964,0.2,736,0.956102735020557,0.919738168511114,"no","no"
"0.2",0.12,0.030812083683953,0.2,751,0.986406464314598,0.945901431644407,"no","no"
"0.2",0.13,0.0346730749267006,0.2,1085,1.01809514925535,0.973557606464564,"no","no"
"0.2",0.14,0.0406428368592686,0.2,1102,1.05118806722889,1.00258721053862,"no","yes"
"0.2",0.15,0.0818583816573042,0.2,1621,1.08763089498326,1.03287735991693,"no","yes"
"0.2",0.16,0.0855889510955154,0.2,1615,1.12367152726152,1.06432099147041,"no","yes"
"0.2",0.17,0.111882044216211,0.2,3049,1.16281872718351,1.09681648507424,"no","yes"
"0.2",0.18,0.246396062768773,0.2,6676,1.2203301888953,1.13026805437022,"no","yes"
"0.2",0.19,0.516516214084769,0.2,11113,1.31778145284564,1.16458586218723,"no","yes"
"0.2",0.2,0.682708988035164,0.2,12420,1.42004157969544,1.19968907648674,"yes","yes"
"0.2",0.21,0.733780102103373,0.2,12413,1.48674615888165,1.23550556655838,"yes","yes"
"0.2",0.22,0.764277022107759,0.2,12407,1.54809653078845,1.27197313512694,"yes","yes"
"0.2",0.23,0.78267267029345,0.2,12404,1.60540768165929,1.30903735364765,"yes","yes"
"0.2",0.24,0.794161071958357,0.2,12402,1.66026445505764,1.34665051022915,"yes","yes"
"0.2",0.25,0.80163816863887,0.2,12399,1.71376797987753,1.3847696427633,"yes","yes"
"0.2",0.26,0.806689225715931,0.2,12398,1.76661582211927,1.42335616840201,"yes","yes"
"0.2",0.27,0.810221499047482,0.2,12396,1.81915309104372,1.46237453165079,"yes","yes"
"0.2",0.28,0.812762611162688,0.2,12395,1.87161589166429,1.50179196331321,"yes","yes"
"0.2",0.29,0.814634375617039,0.2,12393,1.92412852102612,1.54157895752961,"yes","yes"
"0.2",0.3,0.816045196604417,0.2,12392,1.97676233163754,1.58170794285454,"yes","yes"
"0.2",0.31,0.817118786188926,0.2,12391,2.02955831921058,1.62215408372748,"yes","yes"
"0.2",0.32,0.817949906489419,0.2,12391,2.08253924558431,1.66289408016987,"yes","yes"
"0.2",0.33,0.818601278382154,0.2,12390,2.13571585270333,1.70390739408892,"yes","yes"
"0.2",0.34,0.819112933001398,0.2,12389,2.18909230926234,1.74517499683515,"yes","yes"
"0.2",0.35,0.819522425020297,0.2,12389,2.24266884127502,1.7866789113766,"yes","yes"
"0.2",0.36,0.819844257886956,0.2,12388,2.29644282668227,1.82840361572379,"yes","yes"
"0.2",0.37,0.820106710262864,0.2,12388,2.35041003576449,1.87033382236291,"yes","yes"
"0.2",0.38,0.820314735222192,0.2,12388,2.40456408934796,1.91245665559306,"yes","yes"
"0.2",0.39,0.820478085494499,0.2,12388,2.45890046019853,1.95475958747252,"yes","yes"
"0.2",0.4,0.82061374422406,0.2,12388,2.51341270305358,1.99723108886473,"yes","yes"
"0.2",0.41,0.820712458884603,0.2,12387,2.56809471125478,2.03987364667378,"yes","yes"
"0.2",0.42,0.820797164937175,0.2,12387,2.62295464092439,2.08265153801022,"yes","yes"
"0.2",0.43,0.820859177931473,0.2,12387,2.67795716820181,2.12556908879044,"yes","yes"
"0.2",0.44,0.820905548897669,0.2,12388,2.733111603783,2.16861767440627,"yes","yes"
"0.2",0.45,0.82093800000387,0.2,12388,2.78841246773368,2.21178994652835,"yes","yes"
"0.3",0.01,0.0181211871026433,0.3,0,0.770040747648116,0.76915604266102,"no","no"
"0.3",0.02,0.0184945337681364,0.3,62,0.776732366537516,0.773281598779576,"no","no"
"0.3",0.03,0.018890771164706,0.3,70,0.787598624803741,0.780102590867436,"no","no"
"0.3",0.04,0.0193590387690026,0.3,76,0.802283650349135,0.78954945709425,"no","no"
"0.3",0.05,0.0198463202450787,0.3,81,0.820376080489141,0.801530444827193,"no","no"
"0.3",0.06,0.0205917140012922,0.3,315,0.841464377802392,0.815934919957535,"no","no"
"0.3",0.07,0.0216043975925046,0.3,322,0.865150072528791,0.832638576033922,"no","no"
"0.3",0.08,0.0228992658698765,0.3,723,0.891088654812348,0.851507755221135,"no","no"
"0.3",0.09,0.0245944372599725,0.3,738,0.918991868640262,0.87240372974769,"no","no"
"0.3",0.1,0.0271412211811114,0.3,1073,0.948627066404423,0.895191743451662,"no","no"
"0.3",0.11,0.0308477127492373,0.3,1094,0.979809541565284,0.919738168511114,"no","no"
"0.3",0.12,0.0695028189477398,0.3,1626,1.01413217249577,0.945901431644407,"no","no"
"0.3",0.13,0.0790018427263815,0.3,1618,1.04863174839976,0.973557606464564,"no","no"
"0.3",0.14,0.109503437222521,0.3,4388,1.08673140346132,1.00258721053862,"no","yes"
"0.3",0.15,0.302529477364989,0.3,9275,1.1473562156923,1.03287735991693,"no","yes"
"0.3",0.16,0.552512103374502,0.3,12441,1.24406861837423,1.06432099147041,"yes","yes"
"0.3",0.17,0.647740575424009,0.3,12421,1.31397056732351,1.09681648507424,"yes","yes"
"0.3",0.18,0.709849567832437,0.3,12412,1.38025377695411,1.13026805437022,"yes","yes"
"0.3",0.19,0.748423523603984,0.3,12406,1.44200752011503,1.16458586218723,"yes","yes"
"0.3",0.2,0.772067830304637,0.3,12402,1.49948332230279,1.19968907648674,"yes","yes"
