"q","biteA","Mean_Annual_Seroprevalence","R0_when_q0","param1","Persistence","mean_popn_R0","Persist_long","Persist_year"
"0.1",0.28,0.0485136424744599,1.14512174591402,0.1,833,1.17781161502726,"no","yes"
"0.1",0.29,0.0512012666512885,1.170015361714,0.1,839,1.20373402182186,"no","yes"
"0.1",0.3,0.0545628530569215,1.19523645769521,0.1,843,1.23020546023013,"no","yes"
"0.1",0.31,0.0636120686543076,1.22076218998543,0.1,1215,1.25772949545833,"no","yes"
"0.1",0.32,0.0692143873370371,1.24657220602298,0.1,1210,1.28516937745666,"no","yes"
"0.1",0.33,0.0950722894160277,1.27264732238755,0.1,1609,1.31574178687045,"no","yes"
"0.1",0.34,0.105937600972398,1.29897098410439,0.1,1585,1.34542524348532,"no","yes"
"0.1",0.35,0.179719651125781,1.32552801765679,0.1,3786,1.38553949021035,"no","yes"
"0.1",0.36,0.415770106993617,1.35230507454283,0.1,8517,1.47545107155154,"no","yes"
"0.1",0.37,0.568415779045377,1.37928946696487,0.1,10350,1.56121548204553,"no","yes"
"0.1",0.38,0.740196815425124,1.40647006871096,0.1,12415,1.65993805832625,"yes","yes"
"0.1",0.39,0.763368724253438,1.4338365665043,0.1,12411,1.70652501971301,"yes","yes"
"0.1",0.4,0.778155126256224,1.4613788246518,0.1,12409,1.74961821962205,"yes","yes"
"0.1",0.41,0.78824350483615,1.48908778118075,0.1,12407,1.79063378213834,"yes","yes"
"0.1",0.42,0.795418412927875,1.51695463485094,0.1,12405,1.83035872826241,"yes","yes"
"0.1",0.43,0.800679708280814,1.54497158036142,0.1,12404,1.86924826890749,"yes","yes"
"0.1",0.44,0.804636822117656,1.57313017247125,0.1,12402,1.90759510949997,"yes","yes"
"0.1",0.45,0.80766269689058,1.60142386834724,0.1,12401,1.94559485663308,"yes","yes"
"0.2",0.01,0.0179100691024458,0.722451859693402,0.2,0,0.722719750478422,"no","no"
"0.2",0.02,0.0180657513554422,0.724540522899575,0.2,0,0.725598882833341,"no","no"
"0.2",0.03,0.0182206621229445,0.728004631065874,0.2,0,0.730348672395823,"no","no"
"0.2",0.04,0.0183867254301275,0.732825146594599,0.2,60,0.736907440522887,"no","no"
"0.2",0.05,0.0185629505191767,0.73897555868539,0.2,65,0.745194513502603,"no","no"
"0.2",0.06,0.0187493045040213,0.746423119602634,0.2,69,0.755115415611837,"no","no"
"0.2",0.07,0.0189493383832617,0.755129812235721,0.2,73,0.76656723994131,"no","no"
"0.2",0.08,0.0192060593585198,0.765052739956296,0.2,77,0.779443462748545,"no","no"
"0.2",0.09,0.0194504765127506,0.776145617168594,0.2,80,0.793637096579792,"no","no"
"0.2",0.1,0.0197196654998607,0.788359308572485,0.2,84,0.809044279101517,"no","no"
"0.2",0.11,0.0200177886757488,0.801643097897471,0.2,88,0.825566122197427,"no","no"
"0.2",0.12,0.0204666703402186,0.815945036703529,0.2,91,0.843109786687236,"no","no"
"0.2",0.13,0.0211537258389985,0.831213167082112,0.2,317,0.861602243679861,"no","no"
"0.2",0.14,0.0219064552928597,0.847395777415818,0.2,323,0.880948398012652,"no","no"
"0.2",0.15,0.0227587674525945,0.864442165754515,0.2,328,0.901082209296689,"no","no"
"0.2",0.16,0.0236904202909172,0.882303289291038,0.2,333,0.921939559964012,"no","no"
"0.2",0.17,0.0247500441851073,0.90093141751557,0.2,338,0.943463077062106,"no","no"
"0.2",0.18,0.0261836771161608,0.920280770936715,0.2,733,0.965623119412808,"no","no"
"0.2",0.19,0.0284440799060645,0.940324453229364,0.2,751,0.988391886416401,"no","no"
"0.2",0.2,0.030640133074607,0.961000848794107,0.2,759,1.01168312447803,"no","no"
"0.2",0.21,0.0338763680694095,0.982274876376277,0.2,1097,1.03555462404791,"no","no"
"0.2",0.22,0.0382450715928924,1.00411126087694,0.2,1106,1.06000418056842,"no","yes"
"0.2",0.23,0.0686045405932363,1.02647562694986,0.2,1624,1.08634585185136,"no","yes"
"0.2",0.24,0.073410599619003,1.04933546146558,0.2,1618,1.11223998734469,"no","yes"
"0.2",0.25,0.0797417668404032,1.07265919314101,0.2,1613,1.13857720985545,"no","yes"
"0.2",0.26,0.129459581178773,1.09641712841973,0.2,4407,1.16998723694745,"no","yes"
"0.2",0.27,0.244171455653237,1.1205803954871,0.2,7341,1.21349183089751,"no","yes"
"0.2",0.28,0.434906369518064,1.14512174591402,0.2,10364,1.27976715654418,"no","yes"
"0.2",0.29,0.621609304570539,1.170015361714,0.2,12429,1.36435592730218,"yes","yes"
"0.2",0.3,0.674686302273646,1.19523645769521,0.2,12421,1.41480275330109,"yes","yes"
"0.2",0.31,0.712365063995525,1.22076218998543,0.2,12415,1.46222080002186,"yes","yes"
"0.2",0.32,0.73953867012012,1.24657220602298,0.2,12411,1.50709046005386,"yes","yes"
"0.2",0.33,0.75906139946875,1.27264732238755,0.2,12407,1.54966158969987,"yes","yes"
"0.2",0.34,0.773173777225506,1.29897098410439,0.2,12405,1.59037641862065,"yes","yes"
"0.2",0.35,0.783510181741355,1.32552801765679,0.2,12403,1.62973989457084,"yes","yes"
"0.2",0.36,0.791210044970643,1.35230507454283,0.2,12402,1.6681563259631,"yes","yes"
"0.2",0.37,0.797041440154329,1.37928946696487,0.2,12400,1.70592711575272,"yes","yes"
"0.2",0.38,0.80152407705427,1.40647006871096,0.2,12399,1.74327444730613,"yes","yes"
"0.2",0.39,0.805022185520528,1.4338365665043,0.2,12398,1.78034874308917,"yes","yes"
"0.2",0.4,0.807785733539956,1.4613788246518,0.2,12397,1.81725623450547,"yes","yes"
"0.2",0.41,0.809994407832375,1.48908778118075,0.2,12396,1.85407163815954,"yes","yes"
"0.2",0.42,0.811779190127703,1.51695463485094,0.2,12395,1.89084607436742,"yes","yes"
"0.2",0.43,0.813236324065445,1.54497158036142,0.2,12394,1.92761508041886,"yes","yes"
"0.2",0.44,0.814438679264381,1.57313017247125,0.2,12393,1.96440398015219,"yes","yes"
"0.2",0.45,0.815434985220171,1.60142386834724,0.2,12393,2.00123164673971,"yes","yes"
"0.3",0.01,0.0179288105160162,0.722451859693402,0.3,0,0.722948125764868,"no","no"
"0.3",0.02,0.0181031144916223,0.724540522899575,0.3,0,0.726495218064142,"no","no"
"0.3",0.03,0.0182765281450645,0.728004631065874,0.3,0,0.732311528151089,"no","no"
"0.3",0.04,0.018462335576697,0.732825146594599,0.3,60,0.740274759685053,"no","no"
"0.3",0.05,0.0186593935135318,0.73897555868539,0.3,65,0.750232399793717,"no","no"
"0.3",0.06,0.0188676766329814,0.746423119602634,0.3,69,0.762016233352331,"no","no"
"0.3",0.07,0.0190911231653824,0.755129812235721,0.3,73,0.775454304693635,"no","no"
"0.3",0.08,0.0193731059931164,0.765052739956296,0.3,77,0.790379588963909,"no","no"
"0.3",0.09,0.0196449607045308,0.776145617168594,0.3,80,0.806636063444932,"no","no"
"0.3",0.1,0.0199930783946303,0.788359308572485,0.3,310,0.824085603641298,"no","no"
"0.3",0.11,0.0204370404946519,0.801643097897471,0.3,317,0.84259952156318,"no","no"
"0.3",0.12,0.0210040794252214,0.815945036703529,0.3,322,0.86206393813135,"no","no"
"0.3",0.13,0.0216976313277994,0.831213167082112,0.3,327,0.882381635835606,"no","no"
"0.3",0.14,0.0226432966676136,0.847395777415818,0.3,726,0.903476634412112,"no","no"
"0.3",0.15,0.0237721315189394,0.864442165754515,0.3,739,0.925275352974237,"no","no"
"0.3",0.16,0.0250596076306031,0.882303289291038,0.3,748,0.947705508990874,"no","no"
"0.3",0.17,0.0271213076590009,0.90093141751557,0.3,1088,0.970764073062078,"no","no"
"0.3",0.18,0.0303727539859012,0.920280770936715,0.3,1441,0.994402861496643,"no","no"
"0.3",0.19,0.0610315948753367,0.940324453229364,0.3,1625,1.01994658148187,"no","no"
"0.3",0.2,0.0684273952361993,0.961000848794107,0.3,1621,1.04499468932249,"no","no"
"0.3",0.21,0.0813818892837479,0.982274876376277,0.3,3268,1.07133590817235,"no","no"
"0.3",0.22,0.172023386710655,1.00411126087694,0.3,6928,1.10499589079235,"no","yes"
"0.3",0.23,0.421833802275614,1.02647562694986,0.3,12531,1.16955828776546,"yes","yes"
"0.3",0.24,0.54350093059414,1.04933546146558,0.3,12435,1.23099043182334,"yes","yes"
"0.3",0.25,0.610812021409533,1.07265919314101,0.3,12424,1.27963697540778,"yes","yes"
"0.3",0.26,0.662566865948785,1.09641712841973,0.3,12418,1.32705510378895,"yes","yes"
"0.3",0.27,0.701715027444038,1.1205803954871,0.3,12413,1.37287549762438,"yes","yes"
"0.3",0.28,0.730508374078922,1.14512174591402,0.3,12408,1.41665343635797,"yes","yes"
"0.3",0.29,0.751501053077671,1.170015361714,0.3,12405,1.45834096938876,"yes","yes"
"0.3",0.3,0.766880928356082,1.19523645769521,0.3,12402,1.49830694392131,"yes","yes"
"0.3",0.31,0.778308049987539,1.22076218998543,0.3,12401,1.53701180530114,"yes","yes"
"0.3",0.32,0.786938373379896,1.24657220602298,0.3,12399,1.57483463007585,"yes","yes"
"0.3",0.33,0.793560877409519,1.27264732238755,0.3,12398,1.61206937668192,"yes","yes"
"0.3",0.34,0.798710866466893,1.29897098410439,0.3,12396,1.64892611678982,"yes","yes"
"0.3",0.35,0.802759481826999,1.32552801765679,0.3,12395,1.68554497743068,"yes","yes"
"0.3",0.36,0.805981006266892,1.35230507454283,0.3,12394,1.72202454407456,"yes","yes"
"0.3",0.37,0.808560932755332,1.37928946696487,0.3,12393,1.7584333641152,"yes","yes"
"0.3",0.38,0.810651052505479,1.40647006871096,0.3,12392,1.79481865033907,"yes","yes"
"0.3",0.39,0.812354566065462,1.4338365665043,0.3,12392,1.83121254798612,"yes","yes"
"0.3",0.4,0.813753998579038,1.4613788246518,0.3,12391,1.86763954356465,"yes","yes"
