"q","biteA","Mean_Annual_Seroprevalence","param1","Persistence","mean_popn_R0","R0_when_q0","Persist_long","Persist_year"
"0.1",0.06,0.0199626405370607,0.1,86,0.822386681335044,0.815935817514276,"no","no"
"0.1",0.07,0.0207610295968927,0.1,91,0.841018958615724,0.832639651522093,"no","no"
"0.1",0.08,0.0217024687753537,0.1,97,0.861907917941098,0.851509007840383,"no","no"
"0.1",0.09,0.0228170782551779,0.1,101,0.884865933096139,0.872405346435265,"no","no"
"0.1",0.1,0.0243217633158187,0.1,306,0.909721766635822,0.895193774451001,"no","no"
"0.1",0.11,0.026580745699772,0.1,324,0.936331465362323,0.919740782806028,"no","no"
"0.1",0.12,0.0289271223595169,0.1,332,0.964498900719485,0.945904723225239,"no","no"
"0.1",0.13,0.0316066057267379,0.1,338,0.994095743221269,0.973561562813472,"no","no"
"0.1",0.14,0.0346078382220468,0.1,342,1.02499444799879,1.0025919617632,"no","yes"
"0.1",0.15,0.0378549089338246,0.1,345,1.05707666178205,1.03288292582847,"no","yes"
"0.1",0.16,0.0412107941503023,0.1,346,1.09023157527682,1.06432760116345,"no","yes"
"0.1",0.17,0.0455097457665389,0.1,763,1.1244976498102,1.09682414718205,"no","yes"
"0.1",0.18,0.0504572703119436,0.1,840,1.1597811873706,1.13027660947927,"no","yes"
"0.1",0.19,0.0548315905106699,0.1,847,1.19598956808912,1.16459555762042,"no","yes"
"0.1",0.2,0.0647297413027599,0.1,1222,1.23373792822092,1.19969976732801,"no","yes"
"0.1",0.21,0.0721892762026824,0.1,1213,1.2720599063241,1.23551741007015,"no","yes"
"0.1",0.22,0.104417892583346,0.1,1606,1.31488001991576,1.27198593493271,"no","yes"
"0.1",0.23,0.113097981540092,0.1,1844,1.35644411533628,1.30905117445867,"no","yes"
"0.1",0.24,0.404599163197095,0.1,8012,1.46697421341243,1.34666546412739,"no","yes"
"0.1",0.25,0.725804304316642,0.1,12418,1.62785593711273,1.38478588452287,"yes","yes"
"0.1",0.26,0.766651977082381,0.1,12411,1.6963289276973,1.42337363747462,"yes","yes"
"0.1",0.27,0.786047012683573,0.1,12408,1.75687388074226,1.46239311386974,"yes","yes"
"0.1",0.28,0.797186933052305,0.1,12406,1.81394750310284,1.50181197638413,"yes","yes"
"0.1",0.29,0.804112506292319,0.1,12403,1.86927839796666,1.54160062091384,"yes","yes"
"0.1",0.3,0.808662912179377,0.1,12401,1.92373327819712,1.58173099971548,"yes","yes"
"0.1",0.31,0.811779939663752,0.1,12400,1.97777450643955,1.62217866941666,"yes","yes"
"0.1",0.32,0.813989582930807,0.1,12398,2.03164732974995,1.66292043862382,"yes","yes"
"0.1",0.33,0.81559953694188,0.1,12397,2.08548811258999,1.70393559778201,"yes","yes"
"0.1",0.34,0.816795850172538,0.1,12396,2.13937751952973,1.74520480135393,"yes","yes"
"0.1",0.35,0.817707042015878,0.1,12395,2.19336224955333,1.78671069146476,"yes","yes"
"0.1",0.36,0.818405065727472,0.1,12394,2.2474698947845,1.82843716602574,"yes","yes"
"0.1",0.37,0.818949195433545,0.1,12393,2.30171681189142,1.87036978833493,"yes","yes"
"0.1",0.38,0.81937317808064,0.1,12393,2.35611315302831,1.91249423857766,"yes","yes"
"0.1",0.39,0.819703726800678,0.1,12392,2.41066227914108,1.95479927481554,"yes","yes"
